*****	UNRANKED
****	UNRANKED
***	UNRANKED
**	UNRANKED
*	UNRANKED
???	UNRANKED
??	UNRANKED
?	UNRANKED
[alpha]	UNRANKED
[beta]	UNRANKED
[epsilon]	INFRASUBSPECIFICNAME
[gamma]	INFRASUBSPECIFICNAME
[infrafam unranked]	SUPRAGENERICNAME
[infragen ]	INFRAGENERICNAME
[infragen grex]	INFRAGENERICNAME
[infragen unranked]	INFRAGENERICNAME
[infragen]	INFRAGENERICNAME
[infrasp unranked]	INFRASPECIFICNAME
[unranked]	UNRANKED
\n	UNRANKED
abberation	ABBERATION
abteilung	PHYLUM
abt	PHYLUM
agamosp	SPECIES
agamovar	VARIETY
agglom	INFRAGENERICNAME
aggregate	INFRAGENERICNAME
aggr	INFRAGENERICNAME
agg	INFRAGENERICNAME
agregate	INFRAGENERICNAME
ap	INFRASUBSPECIFICNAME
a	UNRANKED
biotype BIOVAR
branch	UNRANKED
bv  BIOVAR
b	UNRANKED
chemotype CHEMOFORM
clade	UNRANKED
clase	CLASE
class	CLASS
classis	CLASS
class	CLASS
cl	CLASS
cohors	SUPRAGENERICNAME
cohort	SUPRAGENERICNAME
coll species	INFRASPECIFICNAME
coll sp	INFRASPECIFICNAME
complex	INFRASPECIFICNAME
convar	INFRASPECIFICNAME
ct  CHEMOFORM
cultivar	CULTIVAR
cultivar_group	CULTIVAR_GROUP
cultivargroup	CULTIVARGROUP
cultivar	CULTIVAR
cv	CULTIVAR
c	CLASS
division	PHYLUM
divisio	PHYLUM
div	PHYLUM
dolichocera	DOLICHOCERA
domain	DOMAIN
domain	DOMAIN
d	UNRANKED
empire	DOMAIN
es	SPECIES
especie	SPECIES
e	UNRANKED
f sp	FORM
fm	FAMILY
familia	FAMILY
family	FAMILY
family	FAMILY
fam	FAMILY
fma	FORM
form	FORM
forma	FORM
form	FORM
for	FORM
f	FORM
gattung	GENUS
gat	GENUS
genero	GENUS
gennus	GENUS
genus	GENUS
genus	GENUS
gen	GENUS
gn	GENUS
grex sect	SECTION
grex	INFRAGENERICNAME
group	INFRASPECIFICNAME
g	GENUS
higher taxon	SUPRAGENERICNAME
hybrid formula	HYBRID FORMULA
informal	INFORMAL
informal	INFORMAL
infraclass	SUBCLASS
infragen.unranked	INFRAGENERICNAME
infrageneric_name	INFRAGENERIC_NAME
infragenericname	INFRAGENERICNAME
infragenerictaxon	INFRAGENERICTAXON
infrageneric	INFRAGENERICNAME
infragenus	INFRAGENERICNAME
infragen	INFRAGENERICNAME
infrakingdom	SUBKINGDOM
infraorder	INFRAORDER
infraorder	INFRAORDER
infraphylum	SUBPHYLUM
infrasp.unranked	INFRASPECIFICNAME
infraspecies	INFRASPECIFICNAME
infraspecific_name	INFRASPECIFIC_NAME
infraspecificname	INFRASPECIFICNAME
infraspecifictaxon	INFRASPECIFICTAXON
infraspecific	INFRASPECIFICNAME
infrasp	INFRASPECIFICNAME
infrasubspecific name	INFRASUBSPECIFICNAME
infrasubspecific_name	INFRASUBSPECIFIC_NAME
infrasubspecificname	INFRASUBSPECIFICNAME
intergen hybrid	UNRANKED
kingdom	KINGDOM
kingdom	KINGDOM
king	KINGDOM
klasse	CLASS
kla	CLASS
kl	CLASS
kd	KINGDOM
k	KINGDOM
legio	SUPRAGENERICNAME
lysotype  PHAGOVAR
microgen	INFRAGENERICNAME
modif	MODIF
monstr	MONSTR
morphotype  MORPHOVAR
natio	INFORMAL
nat	INFORMAL
nm	NM
no rank	UNRANKED
node	UNRANKED
none	UNRANKED
nothoform	FORM
nothof	FORM
nothogenus	GENUS
nothosect	SECTION
nothoser	SUPRAGENERICNAME
nothospecies	SPECIES
nothosubgen	SUBGENUS
nothosubsect	SUPRAGENERICNAME
nothosubspecies	SUBSPECIES
nothosubsp	SUBSPECIES
nothosubtrib	SUBTRIBE
nothotaxon	UNRANKED
nothovariety	VARIETY
nothovar	VARIETY
ordem	ORDER
order	ORDER
order	ORDER
ordo	ORDER
ord	ORDER
or	ORDER
o	ORDER
pars	PARS
parvorder	SUPRAGENERICNAME
pathotype PATHOVAR
ph	PHYLUM
phagotype PHAGOVAR
phylum	PHYLUM
phylum	PHYLUM
phyl	PHYLUM
physiological type  BIOVAR
prolata	INFRASPECIFICNAME
proles	INFRASPECIFICNAME
prol	INFRASPECIFICNAME
pseudovar	PSEUDOVAR
p	PHYLUM
race	INFRASUBSPECIFICNAME
regnum	KINGDOM
regn	KINGDOM
reg	KINGDOM
reich	KINGDOM
ribe	TRIBE
root	SUPRAGENERICNAME
sec ion	SECTION
section	SECTION
section	SECTION
sectio	SECTION
sect	SECTION
sec	SECTION
series	SERIES
series	SERIES
serie	SERIES
serotype  SEROVAR
ser	SERIES
sge	SUBGENUS
special form  FORMA_SPECIALIS
special form	FORM
species	SPECIES
species group	INFRAGENERICNAME
species subgroup	INFRAGENERICNAME
speciesaggregate	INFRAGENERICNAME
species	SPECIES
spec	SPECIES
spe	SPECIES
sp	SPECIES
ssp	SUBSPECIES
ss	SUBSPECIES
stamm	PHYLUM
stirps	UNRANKED
strain	STRAIN
strain	STRAIN
sub ribe	SUBTRIBE
sub variety	SUBVARIETY
subbranch	UNRANKED
subclass	SUBCLASS
subclassis	SUBCLASS
subclass	SUBCLASS
subcl	SUBCLASS
subdivision	SUBPHYLUM
subdivisio	SUBPHYLUM
subdiv	SUBPHYLUM
sub_especie	SUBSPECIES
subfamilia	SUBFAMILY
subfamily	SUBFAMILY
subfamily	SUBFAMILY
subfam	SUBFAMILY
subform	SUBFORM
subforma	SUBFORM
subform	SUBFORM
subf	SUBFAMILY
subgenus	SUBGENUS
subgenus	SUBGENUS
subgen	SUBGENUS
subg	SUBGENUS
subhybr	INFRASUBSPECIFICNAME
subkingdom	SUBKINGDOM
subkingdom	SUBKINGDOM
sublus	INFRASUBSPECIFICNAME
suborder	SUBORDER
suborder	SUBORDER
subordo	SUBORDER
subord	SUBORDER
subphylum	SUBPHYLUM
subphylum	SUBPHYLUM
subphyl	SUBPHYLUM
subregnum	SUBKINGDOM
subregn	SUBKINGDOM
subsec ion	SUBSECTION
subsection	SUBSECTION
subsection	SUBSECTION
subsectio	SUBSECTION
subsect	SUBSECTION
subseries	SUBSERIES
subseries	SUBSERIES
subser	SUBSERIES
subspecies	SUBSPECIES
subspeciesaggregate	INFRASPECIFICNAME
subspecies	SUBSPECIES
subspec	SUBSPECIES
subsp	SUBSPECIES
subsubf	INFRASUBSPECIFICNAME
subsubvar	INFRASUBSPECIFICNAME
subtribe	SUBTRIBE
subtribe	SUBTRIBE
subtribus	SUBTRIBE
